chief_complaint_raw,cc_stripped
STI with systemic features with associated nausea,STI with systemic features with associated nausea
STI with systemic features with diaphoresis,STI with systemic features with diaphoresis
STI with systemic features with fever,STI with systemic features with fever
STI with systemic features with rigors,STI with systemic features with rigors
STI with systemic features with vomiting,STI with systemic features with vomiting
Stevens-Johnson syndrome,Stevens-Johnson syndrome
Stevens-Johnson syndrome in known patient,Stevens-Johnson syndrome
"Stevens-Johnson syndrome, constant",Stevens-Johnson syndrome
"Stevens-Johnson syndrome, for 2 days",Stevens-Johnson syndrome
"Stevens-Johnson syndrome, intermittent",Stevens-Johnson syndrome
"Stevens-Johnson syndrome, no prior history of this",Stevens-Johnson syndrome
"Stevens-Johnson syndrome, onset today",Stevens-Johnson syndrome
"Stevens-Johnson syndrome, since yesterday",Stevens-Johnson syndrome
"Stevens-Johnson syndrome, worsening with movement",Stevens-Johnson syndrome
Stevens-Johnson syndrome，worsening over hours,Stevens-Johnson syndrome
Stevens-Johnson syndrome with associated nausea,Stevens-Johnson syndrome with associated nausea
Stevens-Johnson syndrome with diaphoresis,Stevens-Johnson syndrome with diaphoresis
Stevens-Johnson syndrome with fever,Stevens-Johnson syndrome with fever
Stevens-Johnson syndrome with rigors,Stevens-Johnson syndrome with rigors
Stevens-Johnson syndrome with vomiting,Stevens-Johnson syndrome with vomiting
UTI repeat prescription,UTI repeat prescription
UTI repeat prescription in known patient,UTI repeat prescription
"UTI repeat prescription, constant",UTI repeat prescription
"UTI repeat prescription, for 2 days",UTI repeat prescription
"UTI repeat prescription, intermittent",UTI repeat prescription
"UTI repeat prescription, no prior history of this",UTI repeat prescription
"UTI repeat prescription, onset today",UTI repeat prescription
"UTI repeat prescription, since yesterday",UTI repeat prescription
"UTI repeat prescription, worsening with movement",UTI repeat prescription
UTI repeat prescription，worsening over hours,UTI repeat prescription
UTI repeat prescription with associated nausea,UTI repeat prescription with associated nausea
UTI repeat prescription with diaphoresis,UTI repeat prescription with diaphoresis
UTI repeat prescription with fever,UTI repeat prescription with fever
UTI repeat prescription with rigors,UTI repeat prescription with rigors
UTI repeat prescription with vomiting,UTI repeat prescription with vomiting
mild abdominal cramping,abdominal cramping
mild abdominal cramping in known patient,abdominal cramping
"mild abdominal cramping, constant",abdominal cramping
"mild abdominal cramping, for 2 days",abdominal cramping
"mild abdominal cramping, intermittent",abdominal cramping
"mild abdominal cramping, no prior history of this",abdominal cramping
"mild abdominal cramping, onset today",abdominal cramping
"mild abdominal cramping, since yesterday",abdominal cramping
"mild abdominal cramping, worsening with movement",abdominal cramping
mild abdominal cramping，worsening over hours,abdominal cramping
mild abdominal cramping with associated nausea,abdominal cramping with associated nausea
mild abdominal cramping with diaphoresis,abdominal cramping with diaphoresis
mild abdominal cramping with fever,abdominal cramping with fever
mild abdominal cramping with rigors,abdominal cramping with rigors
mild abdominal cramping with vomiting,abdominal cramping with vomiting
moderate abdominal pain,abdominal pain
moderate abdominal pain in known patient,abdominal pain
"moderate abdominal pain, constant",abdominal pain
"moderate abdominal pain, for 2 days",abdominal pain
"moderate abdominal pain, intermittent",abdominal pain
"moderate abdominal pain, no prior history of this",abdominal pain
"moderate abdominal pain, onset today",abdominal pain
"moderate abdominal pain, since yesterday",abdominal pain
"moderate abdominal pain, worsening with movement",abdominal pain
moderate abdominal pain，worsening over hours,abdominal pain
moderate abdominal pain with associated nausea,abdominal pain with associated nausea
moderate abdominal pain with diaphoresis,abdominal pain with diaphoresis
moderate abdominal pain with fever,abdominal pain with fever
moderate abdominal pain with rigors,abdominal pain with rigors
moderate abdominal pain with vomiting,abdominal pain with vomiting
minor abrasion,abrasion
minor abrasion in known patient,abrasion
"minor abrasion, constant",abrasion
"minor abrasion, for 2 days",abrasion
"minor abrasion, intermittent",abrasion
"minor abrasion, no prior history of this",abrasion
"minor abrasion, onset today",abrasion
"minor abrasion, since yesterday",abrasion
"minor abrasion, worsening with movement",abrasion
minor abrasion，worsening over hours,abrasion
minor abrasion with associated nausea,abrasion with associated nausea
minor abrasion with diaphoresis,abrasion with diaphoresis
minor abrasion with fever,abrasion with fever
minor abrasion with rigors,abrasion with rigors
minor abrasion with vomiting,abrasion with vomiting
acne advice,acne advice
acne advice in known patient,acne advice
"acne advice, constant",acne advice
"acne advice, for 2 days",acne advice
"acne advice, intermittent",acne advice
"acne advice, no prior history of this",acne advice
"acne advice, onset today",acne advice
"acne advice, since yesterday",acne advice
"acne advice, worsening with movement",acne advice
acne advice，worsening over hours,acne advice
acne advice with associated nausea,acne advice with associated nausea
acne advice with diaphoresis,acne advice with diaphoresis
acne advice with fever,acne advice with fever
acne advice with rigors,acne advice with rigors
acne advice with vomiting,acne advice with vomiting
active suicidal attempt ongoing,active suicidal attempt ongoing
active suicidal attempt ongoing in known patient,active suicidal attempt ongoing
"active suicidal attempt ongoing, constant",active suicidal attempt ongoing
"active suicidal attempt ongoing, for 2 days",active suicidal attempt ongoing
"active suicidal attempt ongoing, intermittent",active suicidal attempt ongoing
"active suicidal attempt ongoing, no prior history of this",active suicidal attempt ongoing
"active suicidal attempt ongoing, onset today",active suicidal attempt ongoing
"active suicidal attempt ongoing, since yesterday",active suicidal attempt ongoing
"active suicidal attempt ongoing, worsening with movement",active suicidal attempt ongoing
active suicidal attempt ongoing，worsening over hours,active suicidal attempt ongoing
active suicidal attempt ongoing with associated nausea,active suicidal attempt ongoing with associated nausea
active suicidal attempt ongoing with diaphoresis,active suicidal attempt ongoing with diaphoresis
active suicidal attempt ongoing with fever,active suicidal attempt ongoing with fever
active suicidal attempt ongoing with rigors,active suicidal attempt ongoing with rigors
active suicidal attempt ongoing with vomiting,active suicidal attempt ongoing with vomiting
activity advice,activity advice
activity advice in known patient,activity advice
"activity advice, constant",activity advice
"activity advice, for 2 days",activity advice
"activity advice, intermittent",activity advice
"activity advice, no prior history of this",activity advice
"activity advice, onset today",activity advice
"activity advice, since yesterday",activity advice
"activity advice, worsening with movement",activity advice
activity advice，worsening over hours,activity advice
activity advice with associated nausea,activity advice with associated nausea
activity advice with diaphoresis,activity advice with diaphoresis
activity advice with fever,activity advice with fever
activity advice with rigors,activity advice with rigors
activity advice with vomiting,activity advice with vomiting
acute severe asthma,acute  asthma
acute severe asthma in known patient,acute  asthma
"acute severe asthma, constant",acute  asthma
"acute severe asthma, for 2 days",acute  asthma
"acute severe asthma, intermittent",acute  asthma
"acute severe asthma, no prior history of this",acute  asthma
"acute severe asthma, onset today",acute  asthma
"acute severe asthma, since yesterday",acute  asthma
"acute severe asthma, worsening with movement",acute  asthma
acute severe asthma，worsening over hours,acute  asthma
acute severe asthma with associated nausea,acute  asthma with associated nausea
acute severe asthma with diaphoresis,acute  asthma with diaphoresis
acute severe asthma with fever,acute  asthma with fever
acute severe asthma with rigors,acute  asthma with rigors
acute severe asthma with vomiting,acute  asthma with vomiting
acute severe psychosis,acute  psychosis
acute severe psychosis in known patient,acute  psychosis
"acute severe psychosis, constant",acute  psychosis
"acute severe psychosis, for 2 days",acute  psychosis
"acute severe psychosis, intermittent",acute  psychosis
"acute severe psychosis, no prior history of this",acute  psychosis
"acute severe psychosis, onset today",acute  psychosis
"acute severe psychosis, since yesterday",acute  psychosis
"acute severe psychosis, worsening with movement",acute  psychosis
acute severe psychosis，worsening over hours,acute  psychosis
acute severe psychosis with associated nausea,acute  psychosis with associated nausea
acute severe psychosis with diaphoresis,acute  psychosis with diaphoresis
acute severe psychosis with fever,acute  psychosis with fever
acute severe psychosis with rigors,acute  psychosis with rigors
acute severe psychosis with vomiting,acute  psychosis with vomiting
acute NSTEMI,acute NSTEMI
acute NSTEMI in known patient,acute NSTEMI
"acute NSTEMI, constant",acute NSTEMI
"acute NSTEMI, for 2 days",acute NSTEMI
"acute NSTEMI, intermittent",acute NSTEMI
"acute NSTEMI, no prior history of this",acute NSTEMI
"acute NSTEMI, onset today",acute NSTEMI
"acute NSTEMI, since yesterday",acute NSTEMI
"acute NSTEMI, worsening with movement",acute NSTEMI
acute NSTEMI，worsening over hours,acute NSTEMI
acute NSTEMI with associated nausea,acute NSTEMI with associated nausea
acute NSTEMI with diaphoresis,acute NSTEMI with diaphoresis
acute NSTEMI with fever,acute NSTEMI with fever
acute NSTEMI with rigors,acute NSTEMI with rigors
acute NSTEMI with vomiting,acute NSTEMI with vomiting
acute STEMI with cardiogenic shock,acute STEMI with cardiogenic shock
acute STEMI with cardiogenic shock in known patient,acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, constant",acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, for 2 days",acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, intermittent",acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, no prior history of this",acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, onset today",acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, since yesterday",acute STEMI with cardiogenic shock
"acute STEMI with cardiogenic shock, worsening with movement",acute STEMI with cardiogenic shock
acute STEMI with cardiogenic shock，worsening over hours,acute STEMI with cardiogenic shock
acute STEMI with cardiogenic shock with associated nausea,acute STEMI with cardiogenic shock with associated nausea
acute STEMI with cardiogenic shock with diaphoresis,acute STEMI with cardiogenic shock with diaphoresis
acute STEMI with cardiogenic shock with fever,acute STEMI with cardiogenic shock with fever
acute STEMI with cardiogenic shock with rigors,acute STEMI with cardiogenic shock with rigors
acute STEMI with cardiogenic shock with vomiting,acute STEMI with cardiogenic shock with vomiting
severe acute abdomen,acute abdomen
severe acute abdomen in known patient,acute abdomen
"severe acute abdomen, constant",acute abdomen
"severe acute abdomen, for 2 days",acute abdomen
"severe acute abdomen, intermittent",acute abdomen
"severe acute abdomen, no prior history of this",acute abdomen
"severe acute abdomen, onset today",acute abdomen
"severe acute abdomen, since yesterday",acute abdomen
"severe acute abdomen, worsening with movement",acute abdomen
severe acute abdomen，worsening over hours,acute abdomen
severe acute abdomen with associated nausea,acute abdomen with associated nausea
severe acute abdomen with diaphoresis,acute abdomen with diaphoresis
severe acute abdomen with fever,acute abdomen with fever
severe acute abdomen with rigors,acute abdomen with rigors
severe acute abdomen with vomiting,acute abdomen with vomiting
acute adrenal insufficiency,acute adrenal insufficiency
acute adrenal insufficiency in known patient,acute adrenal insufficiency
"acute adrenal insufficiency, constant",acute adrenal insufficiency
"acute adrenal insufficiency, for 2 days",acute adrenal insufficiency
"acute adrenal insufficiency, intermittent",acute adrenal insufficiency
"acute adrenal insufficiency, no prior history of this",acute adrenal insufficiency
"acute adrenal insufficiency, onset today",acute adrenal insufficiency
"acute adrenal insufficiency, since yesterday",acute adrenal insufficiency
"acute adrenal insufficiency, worsening with movement",acute adrenal insufficiency
acute adrenal insufficiency，worsening over hours,acute adrenal insufficiency
acute adrenal insufficiency with associated nausea,acute adrenal insufficiency with associated nausea
acute adrenal insufficiency with diaphoresis,acute adrenal insufficiency with diaphoresis
acute adrenal insufficiency with fever,acute adrenal insufficiency with fever
acute adrenal insufficiency with rigors,acute adrenal insufficiency with rigors
acute adrenal insufficiency with vomiting,acute adrenal insufficiency with vomiting
acute airway obstruction angioedema,acute airway obstruction angioedema
acute airway obstruction angioedema in known patient,acute airway obstruction angioedema
"acute airway obstruction angioedema, constant",acute airway obstruction angioedema
"acute airway obstruction angioedema, for 2 days",acute airway obstruction angioedema
"acute airway obstruction angioedema, intermittent",acute airway obstruction angioedema
"acute airway obstruction angioedema, no prior history of this",acute airway obstruction angioedema
"acute airway obstruction angioedema, onset today",acute airway obstruction angioedema
"acute airway obstruction angioedema, since yesterday",acute airway obstruction angioedema
"acute airway obstruction angioedema, worsening with movement",acute airway obstruction angioedema
acute airway obstruction angioedema，worsening over hours,acute airway obstruction angioedema
acute airway obstruction angioedema with associated nausea,acute airway obstruction angioedema with associated nausea
acute airway obstruction angioedema with rigors,acute airway obstruction angioedema with rigors
acute airway obstruction angioedema with vomiting,acute airway obstruction angioedema with vomiting
acute altered mental status,acute altered mental status
acute altered mental status in known patient,acute altered mental status
"acute altered mental status, constant",acute altered mental status
"acute altered mental status, for 2 days",acute altered mental status
"acute altered mental status, intermittent",acute altered mental status
"acute altered mental status, no prior history of this",acute altered mental status
"acute altered mental status, onset today",acute altered mental status
"acute altered mental status, since yesterday",acute altered mental status
"acute altered mental status, worsening with movement",acute altered mental status
acute altered mental status，worsening over hours,acute altered mental status
acute altered mental status with associated nausea,acute altered mental status with associated nausea
acute altered mental status with diaphoresis,acute altered mental status with diaphoresis
acute altered mental status with fever,acute altered mental status with fever
acute altered mental status with rigors,acute altered mental status with rigors
acute altered mental status with vomiting,acute altered mental status with vomiting
acute angle closure glaucoma,acute angle closure glaucoma
acute angle closure glaucoma in known patient,acute angle closure glaucoma
"acute angle closure glaucoma, constant",acute angle closure glaucoma
"acute angle closure glaucoma, for 2 days",acute angle closure glaucoma
"acute angle closure glaucoma, intermittent",acute angle closure glaucoma
"acute angle closure glaucoma, no prior history of this",acute angle closure glaucoma
"acute angle closure glaucoma, onset today",acute angle closure glaucoma
"acute angle closure glaucoma, since yesterday",acute angle closure glaucoma
"acute angle closure glaucoma, worsening with movement",acute angle closure glaucoma
acute angle closure glaucoma，worsening over hours,acute angle closure glaucoma
acute angle closure glaucoma with associated nausea,acute angle closure glaucoma with associated nausea
acute angle closure glaucoma with diaphoresis,acute angle closure glaucoma with diaphoresis
acute angle closure glaucoma with fever,acute angle closure glaucoma with fever
acute angle closure glaucoma with rigors,acute angle closure glaucoma with rigors
acute angle closure glaucoma with vomiting,acute angle closure glaucoma with vomiting
acute anxiety with functional impairment,acute anxiety with functional impairment
acute anxiety with functional impairment in known patient,acute anxiety with functional impairment
"acute anxiety with functional impairment, constant",acute anxiety with functional impairment
"acute anxiety with functional impairment, for 2 days",acute anxiety with functional impairment
"acute anxiety with functional impairment, intermittent",acute anxiety with functional impairment
"acute anxiety with functional impairment, no prior history of this",acute anxiety with functional impairment
"acute anxiety with functional impairment, onset today",acute anxiety with functional impairment
"acute anxiety with functional impairment, since yesterday",acute anxiety with functional impairment
"acute anxiety with functional impairment, worsening with movement",acute anxiety with functional impairment
acute anxiety with functional impairment，worsening over hours,acute anxiety with functional impairment
acute anxiety with functional impairment with associated nausea,acute anxiety with functional impairment with associated nausea
acute anxiety with functional impairment with diaphoresis,acute anxiety with functional impairment with diaphoresis
acute anxiety with functional impairment with fever,acute anxiety with functional impairment with fever
acute anxiety with functional impairment with rigors,acute anxiety with functional impairment with rigors
acute anxiety with functional impairment with vomiting,acute anxiety with functional impairment with vomiting
acute drug overdose with collapse,acute drug overdose with collapse
acute drug overdose with collapse in known patient,acute drug overdose with collapse
"acute drug overdose with collapse, for 2 days",acute drug overdose with collapse
"acute drug overdose with collapse, intermittent",acute drug overdose with collapse
"acute drug overdose with collapse, no prior history of this",acute drug overdose with collapse
"acute drug overdose with collapse, onset today",acute drug overdose with collapse
"acute drug overdose with collapse, since yesterday",acute drug overdose with collapse
"acute drug overdose with collapse, worsening with movement",acute drug overdose with collapse
acute drug overdose with collapse，worsening over hours,acute drug overdose with collapse
acute drug overdose with collapse with associated nausea,acute drug overdose with collapse with associated nausea
acute drug overdose with collapse with diaphoresis,acute drug overdose with collapse with diaphoresis
acute drug overdose with collapse with fever,acute drug overdose with collapse with fever
acute drug overdose with collapse with rigors,acute drug overdose with collapse with rigors
acute drug overdose with collapse with vomiting,acute drug overdose with collapse with vomiting
acute mania with risk,acute mania with risk
acute mania with risk in known patient,acute mania with risk
"acute mania with risk, constant",acute mania with risk
"acute mania with risk, for 2 days",acute mania with risk
"acute mania with risk, intermittent",acute mania with risk
"acute mania with risk, no prior history of this",acute mania with risk
"acute mania with risk, onset today",acute mania with risk
"acute mania with risk, since yesterday",acute mania with risk
"acute mania with risk, worsening with movement",acute mania with risk
acute mania with risk，worsening over hours,acute mania with risk
acute mania with risk with associated nausea,acute mania with risk with associated nausea
acute mania with risk with diaphoresis,acute mania with risk with diaphoresis
acute mania with risk with fever,acute mania with risk with fever
acute mania with risk with rigors,acute mania with risk with rigors
acute mania with risk with vomiting,acute mania with risk with vomiting
acute mastoiditis with complications,acute mastoiditis with complications
acute mastoiditis with complications in known patient,acute mastoiditis with complications
"acute mastoiditis with complications, constant",acute mastoiditis with complications
"acute mastoiditis with complications, for 2 days",acute mastoiditis with complications
"acute mastoiditis with complications, intermittent",acute mastoiditis with complications
"acute mastoiditis with complications, no prior history of this",acute mastoiditis with complications
"acute mastoiditis with complications, onset today",acute mastoiditis with complications
"acute mastoiditis with complications, since yesterday",acute mastoiditis with complications
"acute mastoiditis with complications, worsening with movement",acute mastoiditis with complications
acute mastoiditis with complications，worsening over hours,acute mastoiditis with complications
acute mastoiditis with complications with associated nausea,acute mastoiditis with complications with associated nausea
acute mastoiditis with complications with diaphoresis,acute mastoiditis with complications with diaphoresis
acute mastoiditis with complications with fever,acute mastoiditis with complications with fever
acute mastoiditis with complications with rigors,acute mastoiditis with complications with rigors
acute mastoiditis with complications with vomiting,acute mastoiditis with complications with vomiting
acute mesenteric ischaemia,acute mesenteric ischaemia
acute mesenteric ischaemia in known patient,acute mesenteric ischaemia
"acute mesenteric ischaemia, constant",acute mesenteric ischaemia
"acute mesenteric ischaemia, for 2 days",acute mesenteric ischaemia
"acute mesenteric ischaemia, intermittent",acute mesenteric ischaemia
"acute mesenteric ischaemia, no prior history of this",acute mesenteric ischaemia
"acute mesenteric ischaemia, onset today",acute mesenteric ischaemia
"acute mesenteric ischaemia, since yesterday",acute mesenteric ischaemia
"acute mesenteric ischaemia, worsening with movement",acute mesenteric ischaemia
acute mesenteric ischaemia，worsening over hours,acute mesenteric ischaemia
acute mesenteric ischaemia with associated nausea,acute mesenteric ischaemia with associated nausea
acute mesenteric ischaemia with diaphoresis,acute mesenteric ischaemia with diaphoresis
acute mesenteric ischaemia with fever,acute mesenteric ischaemia with fever
acute mesenteric ischaemia with rigors,acute mesenteric ischaemia with rigors
acute mesenteric ischaemia with vomiting,acute mesenteric ischaemia with vomiting
acute orbital compartment syndrome,acute orbital compartment syndrome
acute orbital compartment syndrome in known patient,acute orbital compartment syndrome
"acute orbital compartment syndrome, constant",acute orbital compartment syndrome
"acute orbital compartment syndrome, for 2 days",acute orbital compartment syndrome
"acute orbital compartment syndrome, intermittent",acute orbital compartment syndrome
"acute orbital compartment syndrome, no prior history of this",acute orbital compartment syndrome
"acute orbital compartment syndrome, onset today",acute orbital compartment syndrome
"acute orbital compartment syndrome, since yesterday",acute orbital compartment syndrome
"acute orbital compartment syndrome, worsening with movement",acute orbital compartment syndrome
acute orbital compartment syndrome，worsening over hours,acute orbital compartment syndrome
acute orbital compartment syndrome with associated nausea,acute orbital compartment syndrome with associated nausea
acute orbital compartment syndrome with diaphoresis,acute orbital compartment syndrome with diaphoresis
acute orbital compartment syndrome with fever,acute orbital compartment syndrome with fever
acute orbital compartment syndrome with rigors,acute orbital compartment syndrome with rigors
acute orbital compartment syndrome with vomiting,acute orbital compartment syndrome with vomiting
acute pancreatitis with organ dysfunction,acute pancreatitis with organ dysfunction
acute pancreatitis with organ dysfunction in known patient,acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, constant",acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, for 2 days",acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, intermittent",acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, no prior history of this",acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, onset today",acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, since yesterday",acute pancreatitis with organ dysfunction
"acute pancreatitis with organ dysfunction, worsening with movement",acute pancreatitis with organ dysfunction
acute pancreatitis with organ dysfunction，worsening over hours,acute pancreatitis with organ dysfunction
acute pancreatitis with organ dysfunction with associated nausea,acute pancreatitis with organ dysfunction with associated nausea
acute pancreatitis with organ dysfunction with diaphoresis,acute pancreatitis with organ dysfunction with diaphoresis
acute pancreatitis with organ dysfunction with fever,acute pancreatitis with organ dysfunction with fever
acute pancreatitis with organ dysfunction with rigors,acute pancreatitis with organ dysfunction with rigors
acute pancreatitis with organ dysfunction with vomiting,acute pancreatitis with organ dysfunction with vomiting
acute psychiatric decompensation,acute psychiatric decompensation
acute psychiatric decompensation in known patient,acute psychiatric decompensation
"acute psychiatric decompensation, constant",acute psychiatric decompensation
"acute psychiatric decompensation, for 2 days",acute psychiatric decompensation
"acute psychiatric decompensation, intermittent",acute psychiatric decompensation
"acute psychiatric decompensation, no prior history of this",acute psychiatric decompensation
"acute psychiatric decompensation, onset today",acute psychiatric decompensation
"acute psychiatric decompensation, since yesterday",acute psychiatric decompensation
"acute psychiatric decompensation, worsening with movement",acute psychiatric decompensation
acute psychiatric decompensation，worsening over hours,acute psychiatric decompensation
acute psychiatric decompensation with associated nausea,acute psychiatric decompensation with associated nausea
acute psychiatric decompensation with diaphoresis,acute psychiatric decompensation with diaphoresis
acute psychiatric decompensation with fever,acute psychiatric decompensation with fever
acute psychiatric decompensation with rigors,acute psychiatric decompensation with rigors
acute psychiatric decompensation with vomiting,acute psychiatric decompensation with vomiting
acute psychosis with violence risk,acute psychosis with violence risk
acute psychosis with violence risk in known patient,acute psychosis with violence risk
"acute psychosis with violence risk, constant",acute psychosis with violence risk
"acute psychosis with violence risk, for 2 days",acute psychosis with violence risk
"acute psychosis with violence risk, intermittent",acute psychosis with violence risk
"acute psychosis with violence risk, no prior history of this",acute psychosis with violence risk
"acute psychosis with violence risk, onset today",acute psychosis with violence risk
"acute psychosis with violence risk, since yesterday",acute psychosis with violence risk
"acute psychosis with violence risk, worsening with movement",acute psychosis with violence risk
acute psychosis with violence risk，worsening over hours,acute psychosis with violence risk
acute psychosis with violence risk with associated nausea,acute psychosis with violence risk with associated nausea
acute psychosis with violence risk with diaphoresis,acute psychosis with violence risk with diaphoresis
acute psychosis with violence risk with fever,acute psychosis with violence risk with fever
acute psychosis with violence risk with rigors,acute psychosis with violence risk with rigors
acute psychosis with violence risk with vomiting,acute psychosis with violence risk with vomiting
acute stress reaction,acute stress reaction
acute stress reaction in known patient,acute stress reaction
"acute stress reaction, constant",acute stress reaction
"acute stress reaction, for 2 days",acute stress reaction
"acute stress reaction, intermittent",acute stress reaction
"acute stress reaction, no prior history of this",acute stress reaction
"acute stress reaction, onset today",acute stress reaction
"acute stress reaction, since yesterday",acute stress reaction
"acute stress reaction, worsening with movement",acute stress reaction
acute stress reaction，worsening over hours,acute stress reaction
acute stress reaction with associated nausea,acute stress reaction with associated nausea
acute stress reaction with diaphoresis,acute stress reaction with diaphoresis
acute stress reaction with fever,acute stress reaction with fever
acute stress reaction with rigors,acute stress reaction with rigors
acute stress reaction with vomiting,acute stress reaction with vomiting
acute stroke with focal deficits,acute stroke with focal deficits
acute stroke with focal deficits in known patient,acute stroke with focal deficits
"acute stroke with focal deficits, constant",acute stroke with focal deficits
"acute stroke with focal deficits, for 2 days",acute stroke with focal deficits
"acute stroke with focal deficits, intermittent",acute stroke with focal deficits
"acute stroke with focal deficits, no prior history of this",acute stroke with focal deficits
"acute stroke with focal deficits, onset today",acute stroke with focal deficits
"acute stroke with focal deficits, since yesterday",acute stroke with focal deficits
"acute stroke with focal deficits, worsening with movement",acute stroke with focal deficits
acute stroke with focal deficits，worsening over hours,acute stroke with focal deficits
acute stroke with focal deficits with associated nausea,acute stroke with focal deficits with associated nausea
acute stroke with focal deficits with diaphoresis,acute stroke with focal deficits with diaphoresis
acute stroke with focal deficits with fever,acute stroke with focal deficits with fever
acute stroke with focal deficits with rigors,acute stroke with focal deficits with rigors
acute stroke with focal deficits with vomiting,acute stroke with focal deficits with vomiting
acute upper GI bleed haematemesis,acute upper GI bleed haematemesis
